排名,专业名称,专业层次,专业类别,开设院校,人气值,MBTI,壹心理
680,国际经济与贸易,专科（高职）,经济贸易类,开设院校,17079,ESTJ/ISFJ,现实型
681,信用管理,本科,金融学类,开设院校,16887,ISTJ/INTP,研究型、管理型
682,采矿工程,本科,矿业类,开设院校,16821,INTJ/ISTJ,研究型
683,文物保护技术,本科,历史学类,开设院校,16801,INFJ,社会型
684,铁道车辆,专科（高职）,铁道运输类,开设院校,16670,ISTP,
685,广播电视编导,本科,戏剧与影视学类,开设院校,16407,ENFP/ESFP,艺术型
686,应用化学,本科,化学类,开设院校,16393,ISTP/INTJ,
687,软件技术,专科（高职）,计算机类,开设院校,16279,INTP/INTJ,研究型
688,人文教育,本科,教育学类,开设院校,16242,ENFP/ENFJ,社会型
689,石油工程技术,专科（高职）,石油与天然气类,开设院校,15868,INTJ/ISTJ,研究型
690,经济学,本科,经济学类,开设院校,15822,ISTJ/INTP,研究型
691,电子科学与技术,本科,电子信息类,开设院校,15795,ISTP/INTP,
692,物流管理,专科（高职）,物流类,开设院校,15612,ESTP,管理型
693,音乐学,本科,音乐与舞蹈学类,开设院校,15565,ESFP/ESTP,艺术型
694,中药学,本科,中药学类,开设院校,15381,ISFJ/ESFJ,研究型
695,法医学,本科,法医学类,开设院校,15159,ESTP/ESFJ,研究型
696,园艺,本科,植物生产类,开设院校,15147,INTJ/ENFJ/ENFP,社会型、现实型
697,社会学,本科,社会学类,开设院校,15100,ISFJ/ESTJ,社会型
698,信息安全,本科,计算机类,开设院校,15079,INTP/INTJ,研究型
699,华文教育,本科,教育学类,开设院校,14970,ENFP/ENFJ,社会型
700,应用语言学,本科,中国语言文学类,开设院校,14872,ESTP,艺术型
701,医学生物技术,专科（高职）,医学技术类,开设院校,14864,ESFJ/ISFJ,研究型
702,铁道工程技术,专科（高职）,铁道运输类,开设院校,14817,ISTP,
703,石油工程,本科,矿业类,开设院校,14801,INTJ/ISTJ,研究型
704,材料科学与工程,本科,材料类,开设院校,14672,ISTP/INTJ,
705,宗教学,本科,哲学类,开设院校,14406,INFJ,社会型
706,人民武装,专科（高职）,公共事业类,开设院校,14359,ISFJ/ESTJ,社会型
707,交通管理,专科（高职）,公安管理类,开设院校,14273,ESTP/ISFJ,现实型
708,广告学,本科,新闻传播学类,开设院校,13908,ESFP/ENFP,艺术型
709,妇幼保健医学,本科,公共卫生与预防医学类,开设院校,13819,ISFJ/ISFP,研究型
710,药品经营与管理,专科（高职）,食品药品管理类,开设院校,13684,ESFJ/ESTP,研究型
711,生物医学工程,本科,生物医学工程类,开设院校,13622,INTJ,研究型
712,女性学,本科,社会学类,开设院校,13264,ISFJ/ESTJ,社会型
713,中医骨伤,专科（高职）,临床医学类,开设院校,13229,INTJ/ISFJ/ESFJ,研究型
714,光源与照明,本科,电气类,开设院校,13098,INTJ/ISTP,研究型
715,电子信息工程技术,专科（高职）,电子信息类,开设院校,12967,ISTP/INTP,
716,国际商务,本科,工商管理类,开设院校,12920,ISFJ/ISTP/ESFJ,管理型
717,摄影,本科,美术学类,开设院校,12900,INTJ/INFP,艺术型
718,铁道交通运营管理,专科（高职）,铁道运输类,开设院校,12883,ISTP,
719,林业技术,专科（高职）,林业类,开设院校,12833,ISTJ/ISFJ,现实型
720,建筑材料工程技术,专科（高职）,建筑材料类,开设院校,12779,ISTP/INTP/ENTJ,
721,信息网络安全监察,专科（高职）,公安管理类,开设院校,12771,ESTP/ISFJ,现实型
722,精神医学,本科,临床医学类,开设院校,12763,INTJ/ISFJ/ESFJ,研究型
